SEQDAY,FCOUNT_NLDN,FCOUNT_STRUCTURE,FCOUNT_HAIL,FCOUNT_TVS,FIPS
1986-05-11,0,NULL,NULL,NULL,12057
1986-05-12,0,NULL,NULL,NULL,12057
1986-05-13,0,NULL,NULL,NULL,12057
1986-05-14,0,NULL,NULL,NULL,12057
1986-05-15,0,NULL,NULL,NULL,12057
1986-05-16,0,NULL,NULL,NULL,12057
1986-05-17,0,NULL,NULL,NULL,12057
1986-05-18,0,NULL,NULL,NULL,12057
1986-05-19,15,NULL,NULL,NULL,12057
1986-05-20,127,NULL,NULL,NULL,12057
1986-05-21,8,NULL,NULL,NULL,12057
1986-05-22,0,NULL,NULL,NULL,12057
1986-05-23,0,NULL,NULL,NULL,12057
1986-05-24,0,NULL,NULL,NULL,12057
1986-05-25,0,NULL,NULL,NULL,12057
1986-05-26,0,NULL,NULL,NULL,12057
1986-05-27,0,NULL,NULL,NULL,12057
1986-05-28,0,NULL,NULL,NULL,12057
1986-05-29,0,NULL,NULL,NULL,12057
1986-05-30,0,NULL,NULL,NULL,12057
1986-05-31,0,NULL,NULL,NULL,12057
1986-06-01,66,NULL,NULL,NULL,12057
1986-06-02,0,NULL,NULL,NULL,12057
1986-06-03,111,NULL,NULL,NULL,12057
1986-06-04,31,NULL,NULL,NULL,12057
1986-06-05,0,NULL,NULL,NULL,12057
1986-06-06,0,NULL,NULL,NULL,12057
1986-06-07,63,NULL,NULL,NULL,12057
1986-06-08,454,NULL,NULL,NULL,12057
1986-06-09,193,NULL,NULL,NULL,12057
1986-06-10,763,NULL,NULL,NULL,12057
1986-06-11,1600,NULL,NULL,NULL,12057
1986-06-12,14,NULL,NULL,NULL,12057
1986-06-13,628,NULL,NULL,NULL,12057
1986-06-14,1178,NULL,NULL,NULL,12057
1986-06-15,766,NULL,NULL,NULL,12057
1986-06-16,762,NULL,NULL,NULL,12057
1986-06-17,298,NULL,NULL,NULL,12057
1986-06-18,243,NULL,NULL,NULL,12057
1986-06-19,666,NULL,NULL,NULL,12057
1986-06-20,35,NULL,NULL,NULL,12057
1986-06-21,199,NULL,NULL,NULL,12057
1986-06-22,0,NULL,NULL,NULL,12057
1986-06-23,200,NULL,NULL,NULL,12057
1986-06-24,876,NULL,NULL,NULL,12057
1986-06-25,352,NULL,NULL,NULL,12057
1986-06-26,451,NULL,NULL,NULL,12057
1986-06-27,3,NULL,NULL,NULL,12057
1986-06-28,654,NULL,NULL,NULL,12057
1986-06-29,450,NULL,NULL,NULL,12057
1986-06-30,189,NULL,NULL,NULL,12057
